Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00346653-01,CHEK1,SCH 900776,GMIZZEXBPRLVIV,Chk1 Inhibitor
NCGC00159574-02,AURKA,ZM 44739,OGNYUTNQZVRGMN,Aurora-A/B Inhibitor
NCGC00159326-02,,Lincomycin hydrochloride,OJMMVQQUTAEWLP,Antibiotic
NCGC00262398-03,USP2,,PSCUSXNRFKYVKO,USP2 inhibitor
NCGC00263165-01,MAPK14,PH-797804,KCAJXIDMCNPGHZ,p38 MAPK Inhibitor
NCGC00179673-04,,Idoxuridine,XQFRJNBWHJMXHO,Anti-Herpes Simplex Virus Drug
NCGC00024379-04,,Emetine,AUVVAXYIELKVAI,antiprotozoal agent
NCGC00165799-02,PPARA,GW 6471,TYEFSRMOUXWTDN,PPARalpha Antagonist
NCGC00346881-01,TP53,PRIMA-1MET,BGBNULCRKBVAKL,p53-dependent reactivation of massive apoptosis
NCGC00178520-05,,Bromhexine HCl,OJGDCBLYJGHCIH,Mucolytic Agent
NCGC00095460-06,,HAEMATOXYLIN,WZUVPPKBWHMQCE,Iron Chelator
NCGC00016229-13,TPO,PROPYLTHIOURACIL,KNAHARQHSZJURB,thyroperoxidase inhibitor
NCGC00095003-06,CA1,Tioxolone,SLYPOVJCSQHITR,Carbonic Anhydrase Type I Inhibitor
NCGC00185774-01,,Erdosteine,QGFORSXNKQLDNO,Mucolytic Agent
NCGC00346637-01,CTSK,Odanacatib (MK 0822),ZHOHXXHIZFSSNS,Cathepsin K Inhibitors
NCGC00246387-02,,Arbidol HCl,KCFYEAOKVJSACF,antiinfluenza drug
NCGC00263621-02,BRD4,,AAAQFGUYHFJNHI,Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor
NCGC00165873-02,IKBKB,PS-1145;MLN-1145,JZRMBDHPALEPDM,IKK-2 (IKK-beta) Inhibitor
NCGC00164296-03,,3-Indolebutyric acid (IBA),JTEDVYBZBROSJT,plant hormone
NCGC00015439-06,GABRA1,Flumazenil,OFBIFZUFASYYRE,GABA(A) BZ Site Receptor Antagonists
NCGC00263202-01,JAK2,NVP-BSK805,IBPVXAOOVUAOKJ,Jak2 inhibitor
NCGC00173359-06,,Canadine,VZTUIEROBZXUFA,K+/ATP Signaling Inhibitor
NCGC00346665-01,,Scopine,FIMXSEMBHGTNKT,Alkaloid
NCGC00163246-01,ACHE,HUPERZINE A_:_ (-),ZRJBHWIHUMBLCN,Acetylcholinesterase Inhibitors
NCGC00186035-04,IRAK1,IRAK-1-4 Inhibitor I,QTCFYQHZJIIHBS,IRAK Inhibitor
NCGC00344630-01,PSMD1,Marizomib/Salinosporamide A,NGWSFRIPKNWYAO,Proteasome Inhibitor
NCGC00160530-03,ESR1,TOREMIPHENE CITRATE,XFCLJVABOIYOMF,Selective Estrogen Receptor Modulators (SERM)
NCGC00181002-02,CASR,Cinacalcet,VDHAWDNDOKGFTD,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00163650-02,STAT3,CRYPTOTANSHINONE,GVKKJJOMQCNPGB,STAT-3 Inhibitor
NCGC00181786-03,HTR1B,Naratriptan hydrochloride,DISCIPFLLHHREU,5-HT1B Agonist
NCGC00095135-04,HTR1B,ALMOTRIPTAN,WKEMJKQOLOHJLZ,5-HT1B Agonist
NCGC00167525-03,RARB,Tazarotene (Avage),OGQICQVSFDPSEI,Retinoid RAR Agonists?
NCGC00346966-01,RIPK1,HMSL10088,WBLZCNIEEVRRTG,Receptor-interacting serine/threonine-protein kinase 1 (RIPK1)
NCGC00241411-01,IRAK1,NCGC00241411-01,CEAYRKIZESVQSN,IRAK Inhibitor
NCGC00345818-01,,Ximelagatran,YKKFPCDGRUDPJE,Thrombin Inhibitors
NCGC00092381-03,ADK,ABT-702,RQCXKDWOCUJWQZ,Adenosine Kinase Inhibitor
NCGC00347950-01,,,XXYGTCZJJLTAGH,Porcupine (Wnt) Inhibitor
NCGC00346702-01,MET,INCB28060,LIOLIMKSCNQPLV,HGFR (MET; c-Met) Inhibitor
NCGC00024717-01,NOS3,N(G)-Nitro-L-arginine methyl ester hydrochloride,KCWZGJVSDFYRIX,Nitric Oxide Synthase Inhibitors
NCGC00023037-06,,PANCURONIUM Br,GVEAYVLWDAFXET,Steroid non-depolarizing blocker
NCGC00181000-03,,Suplatast tosylate,DYZJXZOQQRXDLE,Mediator Release Inhibitors
NCGC00346476-01,,LX-1606,MDSQOJYHHZBZKA,5-HT Release Inhibitor
NCGC00346671-01,CETP,Anacetrapib (MK-0859),MZZLGJHLQGUVPN,Cholesteryl Ester Transfer Protein (CETP) Inhibitor
NCGC00345848-01,MET,AMG-1,UYMSIPINLJNNOU,HGFR (MET; c-Met) Inhibitor
NCGC00346970-01,,YK-72,WFMYSHLMGAETCU,nitric oxide donors
NCGC00179649-07,,Prednisolone (Hydroretrocortine),OIGNJSKKLXVSLS,Glucocorticoid steroid
NCGC00346741-01,TBXA2R,Travoprost (Travatan),MKPLKVHSHYCHOC,Prostanoid TP Agonist
NCGC00344549-02,,Oxandrolone,QSLJIVKCVHQPLV,Synthetic Steroid
NCGC00015278-14,,CARISOPRODOL,OFZCIYFFPZCNJE,Muscle relaxant
NCGC00264052-01,,alpha-HYDROXYDEOXYCHOLIC ACID,DGABKXLVXPYZII,Antimetabolite
NCGC00015649-05,NISCH,Moxonidine hydrochloride,WPNJAUFVNXKLIM,Imidazoline I1 Receptor Agonists
NCGC00345796-01,PIK3CB,GSK-2636771,XTKLTGBKIDQGQL,PI3Kbeta inhibitor
NCGC00346704-01,TUBB,Cabazitaxel (Jevtana),BMQGVNUXMIRLCK,Tubulin depolymerization inhibitor
NCGC00263109-02,MTOR,GDC-0980,GCUUKUTYMNHSJY,mTOR inhibitor
NCGC00242507-01,MTOR,Everolimus;Afinitor;NVP-RAD-001,HKVAMNSJSFKALM,mTOR inhibitor
NCGC00188866-01,RAC1,,MIDUFIRTIFUTQA,Rac1 inhibitor
NCGC00253767-01,TERT,Clevudine,GBBJCSTXCAQSSJ,Reverse Transcriptase Inhibitor
NCGC00025035-05,MAPK14,SB-203580,CDMGBJANTYXAIV,p38 MAPK Inhibitor
NCGC00346481-01,MTOR,Deforolimus (Ridaforolimus),BUROJSBIWGDYCN,mTOR inhibitor
NCGC00346652-01,AURKA,PF-03814735,RYYNGWLOYLRZLK,Aurora Kinase Inhibitor
NCGC00093706-05,,CEPHALEXIN,ZAIPMKNFIOOWCQ,Cephalosporin antibiotic
NCGC00016855-11,,FENBENDAZOLE,HDDSHPAODJUKPD,antiparasitic agent
NCGC00016643-10,,Trioxsalen,FMHHVULEAZTJMA,phototherapy treatment of skin disorders
NCGC00250388-01,S1PR1,KRP 203;KNF-299,IINUNQPYJGJCJI,S1P1/3/4 agonist
NCGC00166281-02,,,LOUPRKONTZGTKE,antimalarial agents
NCGC00182554-02,GRIN2A,LS-133645,JNODQFNWMXFMEV,NMDA Antagonist
NCGC00273985-03,MAP3K8,Wyeth Cot inhibitor-2,PHNZIIMWDVXPGG,Tpl-2/Cot (MAP3K8) Kinase Inhibitor
NCGC00346804-01,MAPK14,EO 1428,HDCLCHNAEZNGNV,p38 MAPK Inhibitor
NCGC00186037-01,,Ibandronate sodium,MPBVHIBUJCELCL,Treatment of Osteoporosis
NCGC00016410-18,,THIABENDAZOLE,WJCNZQLZVWNLKY,antiparasitic agent
NCGC00017156-01,,CEFOPERAZONE SODIUM,GCFBRXLSHGKWDP,Cephalosporin antibiotic
NCGC00263555-02,USP10,Spautin-1,AWIVHRPYFSSVOG,Ubiquitin Specific Peptidase (USP10/13) Inhibitors
NCGC00344515-02,,Piperaquine,UCRHFBCYFMIWHC,antimalarial agents
NCGC00346693-01,CDK1,BMS-265246,SCFMWQIQBVZOQR,CDK1/2 Inhibitor
NCGC00015480-13,PPARA,,PKNYXWMTHFMHKD,PPARalpha Agonist
NCGC00344506-01,,Manoalide,FGJIDQWRRLDGDB,Calcium Channel Blocker
NCGC00346715-01,,Azomycin (2-Nitroimidazole),YZEUHQHUFTYLPH,Antibiotic
NCGC00015316-06,ODC1,Eflornithine Hydrochloride,VLCYCQAOQCDTCN,Ornithine Decarboxylase Inhibitors
NCGC00015608-04,OPRM1,Loperamide,RDOIQAHITMMDAJ,mu-Opioid Antagonists
NCGC00262642-02,STAT3,WP1066,VFUAJMPDXIRPKO,STAT-3/5 Inhibitor
NCGC00346701-01,,Laquinimod (ABR-215062),GKWPCEFFIHSJOE,Immunomodulators
NCGC00015452-19,AR,FLUTAMIDE,MKXKFYHWDHIYRV,Androgen Receptor Antagonist
NCGC00344510-02,CASR,NPS-2143 (SB262470),PZUJQWHTIRWCID,Calcium-Sensing Receptor (CaSR) Antagonists
NCGC00181349-01,CASR,Strontium ranelate heptahydrate,DJSXNILVACEBLP,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00346568-01,GPR119,GSK1292263,AYJRTVVIBJSSKN,Glucose-Dependent Insulinotropic Receptor (GDIR_:_ GPR119) Agonists
NCGC00163169-02,,PIZOTIFEN MALATE,FIADGNVRKBPQEU,Antimigraine drugs
NCGC00346875-01,NOTCH1,BMS 299897,CWXDOAGXKIYPRR,g-Secretase Inhibitor
NCGC00262829-02,STAT3,C-188-9,CROIZKLZMVFOFK,STAT3 Expression Inhibitors
NCGC00347944-01,LRRK2,,YEVOZZZLKJKCCD,Leucine-Rich Repeat Kinase 2 (LRRK2) Inhibitors
NCGC00345786-01,HDAC6,Compound 7,JVELXRPQMVXDDP,Histone Deacetylase (HDAC) 6 Inhibitor
NCGC00346655-01,DPP4,Linagliptin (BI-1356),LTXREWYXXSTFRX,Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitor
NCGC00015601-03,HTR1D,LY-310_:_762 hydrochloride,KDXISMANFPJVJY,5-HT1D Receptor Antagonist
NCGC00094580-05,XDH,ALLOPURINOL,OFCNXPDARWKPPY,Xanthine Oxidase Inhibitor
NCGC00092364-05,CHRNA7,PNU 282987,WECKJONDRAUFDD,Nicotinic alpha7 Agonists
NCGC00185053-01,ALOX15,,DEFCRCHSGYRKLO,15-Lipoxygenase Inhibitor
NCGC00159461-03,,AMPRENAVIR MESYLATE,JRIYBJCXJSHIOL,HIV Protease Inhibitors
NCGC00263225-01,CCK-B,AG-041R,KOLPMNSDISYEBU,gastrin/CCKB receptor antagonist
NCGC00346642-01,MET,PHA-665752,OFEDSDGPRABWEB,HGFR (MET; c-Met) Inhibitor
NCGC00016740-19,ADRA1A,PRAZOSIN HYDROCHLORIDE,IENZQIKPVFGBNW,alpha1-Adrenoceptor Antagonists
NCGC00250400-01,MET,Crizotinib;PF-02341066;PF-2341066;Xalkori,KTEIFNKAUNYNJU,HGFR (MET; c-Met) Inhibitor
NCGC00016035-12,ADRA2A,TRAZODONE HYDROCHLORIDE,PHLBKPHSAVXXEF,alpha2-Adrenoceptor Antagonists
NCGC00015418-08,,ETHOSUXIMIDE,HAPOVYFOVVWLRS,anti-epileptic drug
NCGC00346829-01,,Fotemustine,YAKWPXVTIGTRJH,DNA Alkylating Agent
NCGC00250373-01,PRKAA1,A-769662,CTESJDQKVOEUOY,AMP-Activated Protein Kinase (AMPK) Activator
NCGC00249390-01,FLT1,Tivozanib;ASP-4130/AV-951/KRN-951,SPMVMDHWKHCIDT,VEGFR-1/2/3 Inhibitor
NCGC00274064-01,,Betamethasone valerate,SNHRLVCMMWUAJD,Glucocorticoid steroid
NCGC00346513-01,TOP2A,Amonafide,UPALIKSFLSVKIS,DNA Topoisomerase II Inhibitors
NCGC00183844-01,TOP2B,Sitafloxacin,PNUZDKCDAWUEGK,DNA Topoisomerase IV Inhibitors
NCGC00094994-06,,MEFLOQUINE,XEEQGYMUWCZPDN,antimalarial agents
NCGC00346717-01,PIK3CA,BYL719,STUWGJZDJHPWGZ,PI3K alpha Inhibitor
NCGC00187912-03,BTK,PCI-32765,XYFPWWZEPKGCCK,Btk/Lck/Lyn inhibitor
NCGC00263151-01,AURKA,JNJ-7706621,QSOTYADLORZYRZ,Aurora Kinase Inhibitor
NCGC00263091-01,CDK1,AT-7519,OVPNQJVDAFNBDN,CDK 1 & 2 inhibitor
NCGC00015092-09,SERPINE1,AMINOCAPROIC ACID,SLXKOJJOQWFEFD,Plasminogen Activator Inhibitor (PAI-1) Inhibitor
NCGC00346723-01,CDC7,PHA-767491,DKXHSOUZPMHNIZ,Cell Division Cycle 7-Related Protein Kinase (CDC7) Inhibitors
NCGC00242495-01,PTK2,PF-431396;PF-562271,LLJJBDHTRHQGQA,Focal Adhesion Kinase (FAK) Inhibitor
NCGC00344999-01,ITK,,HSWJAIQNVQEPDV,ITK inhibitor
NCGC00081778-04,NR5A1,SID 7969543,KWMBIIQCLUIHDI,SF1 (NR5A1) Receptor Antagonist
NCGC00346598-01,,Shikimic acid (Shikimate),JXOHGGNKMLTUBP,plant biochemical intermediate
NCGC00095157-06,,OXFENDAZOLE,BEZZFPOZAYTVHN,antiparasitic agent
NCGC00182084-01,,Clorsulon,BJYAIGPIFCCBOU,antiparasitic agent
NCGC00253740-01,GRIN2A,Ertosamide,VPPJLAIAVCUEMN,NMDA Glycine-Site Antagonist
NCGC00090903-09,NFKB1,Sulfasalazine;Azulfidine,IQINTIBZAZDLHS,NFKB Activation Inhibitors
NCGC00263238-01,NFKB1,Withaferin A;NSC-101088,DBRXOUCRJQVYJQ,NF-kappaB Activation Inhibitor
NCGC00167485-02,,Doripenem Hydrate,UWUMWJWVLCQLMD,Carbapenem Antibiotic
NCGC00345816-01,MMP1,GM-1489,BLPWNGOQQLJQOL,MMP Inhibitor
NCGC00164385-04,ESR1,CLOMIPHENE CITRATE,GKIRPKYJQBWNGO,Selective Estrogen Receptor Modulators (SERM)
NCGC00346896-01,OPRL1,MCOPPB,CYYNMPPFEJPBJD,ORL1 (OP4_:_ NOP) Agonists
NCGC00263531-03,,Linezolid (Zyvox),TYZROVQLWOKYKF,50S Ribosomal Protein Inhibitors
NCGC00015603-07,,LOMEFLOXACIN HYDROCHLORIDE,ZEKZLJVOYLTDKK,Quinoline Antibiotic
NCGC00015207-11,PDE3A,CILOSTAZOL,RRGUKTPIGVIEKM,Phosphodiesterase III (PDE3) Inhibitor
NCGC00344513-01,OPRL1,J113397,MBGVUMXBUGIIBQ,ORL1 (OP4_:_ NOP) Antagonists
NCGC00263141-01,ERN1,STF-083010,LBDFMBIFLKOAGE,Serine/Threonine Kinase/Endoribonuclease IRE1 Inhibitor
NCGC00015437-16,PPARA,FENOFIBRATE,YMTINGFKWWXKFG,PPARalpha Agonist
NCGC00263228-01,FAS,FASN BI,YNFDIGJKJPNFFD,Fatty acid synthase inhibitor
NCGC00090752-08,RARB,Fenretinide;McN-R-1967;NSC-374551;ST-602;SYT-101,AKJHMTWEGVYYSE,RARbeta/gamma Agonist
NCGC00018117-23,ADORA1,THEOPHYLLINE,ZFXYFBGIUFBOJW,Adenosine Receptor Antagonist
NCGC00348107-01,CSF1R,CSF1R (c-FMS) Inhibitor,DXPSQKSTVIVZLV,CSF1R (c-FMS) Inhibitor
NCGC00091019-08,NR3C1,Dexamethasone,UREBDLICKHMUKA,Antiinflammatory
NCGC00015718-06,ADRA1A,Naftopidil,HRRBJVNMSRJFHQ,alpha1-Adrenoceptor Antagonists
NCGC00017223-03,STAT3,,WCGUUGGRBIKTOS,STAT-3 Inhibitor
NCGC00021191-05,,cortisone acetate,ITRJWOMZKQRYTA,Glucocorticoid steroid
NCGC00016103-06,HIF1A,LS-173463,OQQVFCKUDYMWGV,Hypoxia Inducible Factor 1-alpha (HIF-1alpha) Inhibitors
NCGC00250374-01,ALOX5,Licofelone;ML-3000,UAWXGRJVZSAUSZ,5-Lipoxygenase Inhibitor
NCGC00263185-01,EGFR,Dacomitinib;PF-00299804/PF-299,LVXJQMNHJWSHET,EGFR (HER1; erbB1) inhibitor
NCGC00346684-01,EGFR,AG-1024 ,ABBADGFSRBWENF,EGFR (HER1; erbB1) Inhibitor
NCGC00015110-12,CYP19A1,Aminoglutethimide (Cytadren),ROBVIMPUHSLWNV,Aromatase Inhibitor
NCGC00022398-06,,Fluocinonide (Vanos),WJOHZNCJWYWUJD,Glucocorticoid steroid
NCGC00090766-08,,Prednisone (Adasone),XOFYZVNMUHMLCC,Glucocorticoid steroid
NCGC00025072-01,DRD2,PD 128907 hydrochloride,YOILXOMTHPUMRG,Dopamine D2/D3 Agonist
NCGC00347942-01,,,JKKSCGHDRHRWOQ,AAA+ ATPase Motor Cytoplasmic Dynein Inhibitor
NCGC00247624-02,TNF,Tanshinone I,AIGAZQPHXLWMOJ,TNF-alpha Production Inhibitors
NCGC00095597-02,TNF,,BOJKULTULYSRAS,TNF-alpha Production Inhibitor
NCGC00179504-06,TOP2A,Etoposide (VP-16),VJJPUSNTGOMMGY,DNA Topoisomerase II Inhibitors
NCGC00346536-01,PIK3CA,PIK-93,JEZNPTVWRSCEJC,PI3K Inhibitor
NCGC00167488-03,FLT1,Sorafenib;BAY-43-0006;BAY-54-9085;Nexavar,MLDQJTXFUGDVEO,VEGFR-1/2/3 Inhibitor
NCGC00263138-01,KDR,Regorafenib;BAY-73-4506,FNHKPVJBJVTLMP,VEGFR-2 Inhibitor
NCGC00253909-01,SYK,PRT-060318;PRT-318?,NZNTWOVDIXCHHS,Syk Kinase inhibitor
NCGC00188344-05,BCL2L1,ABT-263 (Navitoclax),QNERGCCCLASWNA,Bcl-xL inhibitor
NCGC00346659-01,PIK3CA,PF-04691502,XDLYKKIQACFMJG,PI3K Inhibitor
NCGC00182051-02,SYK,R406;NSC-742317,NHHQJBCNYHBUSI,Syk Kinase inhibitor
NCGC00189074-01,MAP2K1,CI-1040 ,GFMMXOIFOQCCGU,MEK inhibitor
NCGC00179501-05,,Methyl-Hesperidin,QUQPHWDTPGMPEX,Free Radical Scavenger
NCGC00167978-02,,Ceftiofur hydrochloride ,ZBHXIWJRIFEVQY,Cephalosporin antibiotic
NCGC00242514-01,BIRC5,YM155,CJZJWYDXFXAJPQ,Survivin inhibitor
NCGC00242485-01,TYMS,Pemetrexed disodium;Alimta;LY-231514?,WBXPDJSOTKVWSJ,thymidylate synthase inhibitor
NCGC00015256-13,,Chloroquine (CQ),WHTVZRBIWZFKQO,antimalarial agents
NCGC00250386-02,IKBKE,BX-795,VAVXGGRQQJZYBL,IKK-epsilon Inhibitor
NCGC00346515-01,,Biapenem,RLAPFAKXSAUMLW,Carbapenem Antibiotic
NCGC00090705-11,TERT,,WREGKURFCTUGRC,Reverse Transcriptase Inhibitor
NCGC00162409-03,,Bafilomycin A1,XDHNQDDQEHDUTM,Vacuolar H+ ATPase (V-ATPase) Inhibitors
NCGC00090749-11,ESR1,DIETHYLSTILBESTROL,RGLYKWWBQGJZGM,Estrogen Receptor (ER) Agonist
NCGC00250384-01,IKBKB,PHA-408,ZLEZHGHFWIHCGU,IKK-beta Inhibitor
NCGC00242476-02,NR1D1,GSK-4112;SR-6452??,WYSLOKHVFKLWOU,Rev-erb alpha agonist
NCGC00345852-01,CDK1,BS194,KRIWIRSMQRQYJG,CDK1/2/5/9 inhibitor
NCGC00095694-05,GABRA1,Osthol,MBRLOUHOWLUMFF,GABAA Receptor Modulator
NCGC00183361-01,,Oxacillin sodium salt,UWYHMGVUTGAWSP,beta-lactam antibiotic
NCGC00241036-02,JARID2,NCGC00241036-01,XYBGOSXCBPMITI,JMJ inhibitor
NCGC00347955-01,PPARG,,IIJDFXNUWZTHIM,PPARgamma Modulator
NCGC00345854-01,JAK2,CEP-33779,JDYXQKQKYOTVMI,Jak2 inhibitor
NCGC00346522-01,DGAT1,A 922500,BOZRFEQDOFSZBV,Diacylglycerol Acyltransferase Type 1 (DGAT-1) Inhibitors
NCGC00016899-04,PDE4A,(S)-(-)-Rolipram,HJORMJIFDVBMOB,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00270540-03,GAA,Miglitol (Glyset),IBAQFPQHRJAVAV,alpha-Glucosidase Inhibitors
NCGC00263096-01,PARP1,Iniparib,MDOJTZQKHMAPBK,PARP-1 Inhibitor
NCGC00346733-01,AR,Testosterone,MUMGGOZAMZWBJJ,Androgen Receptor Agonist
NCGC00167493-04,,Manidipine,ANEBWFXPVPTEET,Calcium Channel Blocker
NCGC00168774-01,MAOB,Rasagiline mesylate,RUOKEQAAGRXIBM,MAO-B Inhibitor
NCGC00161670-06,,Pepstatin A,FAXGPCHRFPCXOO,Aspartyl Protease Inhibitor
NCGC00263199-02,TEK,AMG-Tie2-1,ZVIWALRWYYSHSU,Tie-2 inhibitor
NCGC00345845-01,JAK2,TG-89,PYMXUXUJJDVXOM,Jak2 inhibitor
NCGC00249613-03,PSMD1,Carfilzomib (PR-171),BLMPQMFVWMYDKT,Proteasome Inhibitor
NCGC00347937-01,RARA,,MVOZLTFXYGHZPM,RARalpha Antagonist
NCGC00025012-02,CNR2,AM 630,JHOTYHDSLIUKCJ,cannabinoid CB2 antagonist
NCGC00160396-02,,Pravadoline;Win-48098,MEUQWHZOUDZXHH,COX inhibitor and?cannabinoid (CB)?agonist
NCGC00015735-12,STAT3,NICLOSAMIDE,RJMUSRYZPJIFPJ,STAT-3 Inhibitor
NCGC00263162-02,NOTCH1,RO4929097,OJPLJFIFUQPSJR,g-Secretase Inhibitor
NCGC00242478-02,HSP90AB1,Alvespimycin hydrochloride;17-DMAG/BMS-826476/NSC-707545,KUFRQPKVAWMTJO,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00346443-01,,AG-7088 (Rupintrivir),CAYJBRBGZBCZKO,HRV 3C Protease Inhibitors
NCGC00095152-07,ADRA1A,ALFLUZOSIN,WNMJYKCGWZFFKR,alpha1-Adrenoceptor Antagonists
NCGC00346708-01,,Aloperine,SKOLRLSBMUGVOY,Mediator Release Inhibitors
NCGC00162225-05,CHRNA3,LEVAMISOLE HYDROCHLORIDE,HLFSDGLLUJUHTE,Nicotinic Receptor Agonist
NCGC00165770-03,,Cardiogenol C hydrochloride,LKBSMPFEKIBRGC,cardiomyocytes differentiation initiator
NCGC00183873-01,HTR3A,Granisetron hydrochloride,MFWNKCLOYSRHCJ,5-HT3 Antagonists
NCGC00263090-01,TTK,AZ-3146,YUKWVHPTFRQHMF,monopolar spindle 1 (Mps1)?kinase inhibitor
NCGC00346651-01,,Nepicastat hydrochloride,YZZVIKDAOTXDEB,Dopamine beta-monooxygenase Inhibitor
NCGC00346664-01,,Paeoniflorin,YKRGDOXKVOZESV,neuromuscular blocker
NCGC00164634-01,,Balsalazide,IPOKCKJONYRRHP,agents for IBS and constipation
NCGC00346631-01,,TAK-700 (Orteronel),OZPFIJIOIVJZMN,Androgen Biosynthesis Inhibitor
NCGC00263126-01,SIGMAR1,Cutamesine hydrochloride;AGY-94806/SA-4503,UVSWWUWQVAQPJR,sigma1 Receptor Agonist
NCGC00017352-23,PTGS2,RESVERATROL,LUKBXSAWLPMMSZ,Cyclooxygenase-2 Inhibitor
NCGC00018257-07,,METHOCARBAMOL,GNXFOGHNGIVQEH,Muscle relaxant
NCGC00346718-01,PDGFRB,CP 673451,DEEOXSOLTLIWMG,PDGFR beta inhibitor
NCGC00091009-05,CYP19A1,17-Methyltestosterone,GCKMFJBGXUYNAG,Aromatase Inhibitor
NCGC00183105-01,CLCN2,Lubiprostone,WGFOBBZOWHGYQH,ClC-2 Channel Activators
NCGC00022819-03,,Ipratropium bromide,OEXHQOGQTVQTAT,Muscarinic Antagonists
NCGC00263148-02,AR,Abiraterone (CB-7598),GZOSMCIZMLWJML,Androgen Biosynthesis Inhibitor
NCGC00241107-03,ABL1,Bosutinib,UBPYILGKFZZVDX,Bcr-Abl inhibitor
NCGC00250410-01,SGK1,,WVSBGSNVCDAMCF,serum- and glucocorticoid-regulated kinases (SGK1 and SGK2) inhibitor
NCGC00346839-01,EGFR,4-Quinazolinamine,DRYRBWIFRVMRPV,EGFR (HER1; erbB1) Inhibitor
NCGC00187482-03,PIK3CA,GDC-0941;RG-7321,RXZDIRTXSZYFFC,PI3K Inhibitor
NCGC00189073-02,MAP2K1,Selumetinib,CYOHGALHFOKKQC,Mek1/2 inibitor
NCGC00187911-02,BRAF,PLX-4720,JEUYKWKOFRCNHM,Raf kinase B Inhibitor
NCGC00346551-01,TNF,Pomalidomide,UVSMNLNDYGZFPF,TNF-alpha Production Inhibitor
NCGC00346457-01,PIK3CA,BAY-80-6946,PZBCKZWLPGJMAO,PI3K alpha/delta Inhibitor
NCGC00346634-01,MTOR,WAY-600,FPEIJQLXFHKLJV,mTOR inhibitor
NCGC00015609-05,HK1,Lonidamine;AF-1890/KN-228/TH-070,WDRYRZXSPDWGEB,hexokinase inactivator
NCGC00246187-02,,Pyronaridine,DJUFPMUQJKWIJB,antimalarial agents
NCGC00163409-05,CASP3,Betulinic acid,QGJZLNKBHJESQX,Caspase 3/8 Activators
NCGC00274038-01,MAP3K7,AZ-TAK1 Inhibitor,MOWJKFWTFZWXHW,TGF-beta Activated Kinase (TAK1) inhibitor
NCGC00017159-08,NFKB1,,VFLDPWHFBUODDF,NF-kappaB Activation Inhibitor
NCGC00347905-01,P2RX7,AZ 10606120,FQMZXMVHHKXGTM,P2X7 Receptor Antagonist
NCGC00250391-01,PDK2,AZD-7545,UCVMFSWTCMCDJS,Pyruvate Dehydrogenase Kinase 2 Inhibitor
NCGC00250387-02,PRKDC,KU 0060648,AATCBLYHOUOCTO,DNA-Dependent Protein Kinase (DNA-PK) Inhibitor
NCGC00095145-01,,CANTHARIDIN,DHZBEENLJMYSHQ,PP-1 Inhibitors
,PPP1CA,,,PP-2A Inhibitors
NCGC00094889-05,,FERULIC ACID,KSEBMYQBYZTDHS,Free Radical Scavenger
NCGC00182047-02,,FLUDARABINE PHOSPHATE,GIUYCYHIANZCFB,Purine Antagonist
NCGC00159518-04,,RABEPRAZOLE SODIUM,KNWNQAWYVGYXNR,H+/K+-ATPase Inhibitor
NCGC00262545-02,,Vitamin B12,RMRCNWBMXRMIRW,Vitamin
NCGC00095348-07,AR,3_:_3'-DIINDOLYLMETHANE,VFTRKSBEFQDZKX,Androgen Receptor Antagonist
NCGC00263112-01,PLK1,GSK-461364A,ZHJGWYRLJUCMRT,Polo-like Kinase-1 (Plk-1) Inhibitor
NCGC00024667-13,DDC,METHYLDOPA,CJCSPKMFHVPWAR,DOPA decarboxylase inhibitor
NCGC00015389-08,TRPV1,Propofol,OLBCVFGFOZPWHH,TRPV1 (Vanilloid VR1 Receptor) Agonist
NCGC00346604-01,GABRA1,Dihydromyricetin (Ampeloptin),KJXSIXMJHKAJOD,GABA(A) BZ Site Receptor Modulator
NCGC00343773-01,PADI1,,LJJCYRVBDASIDX,Peptidylarginine Deiminase (PAD) Inhibitors
NCGC00346630-01,PDE10A,PF-2545920,AZEXWHKOMMASPA,Phosphodiesterase PDE10A Inhibitors
NCGC00015443-06,SCN5A,Flecainide,DJBNUMBKLMJRSA,Nav1.5 (Cardiac/SkMII) Sodium Channel Blockers
NCGC00181765-01,CYSLTR1,Pranlukast,UAJUXJSXCLUTNU,Leukotriene CysLT1/2 (LTD4) Antagonist
NCGC00182077-02,,Roxithromycin,RXZBMPWDPOLZGW,Macrolide Antibiotic
NCGC00015226-11,,MITOTANE,JWBOIMRXGHLCPP,Antineoplastic Agent
NCGC00346663-01,,Geniposidic acid,ZJDOESGVOWAULF,radioprotectant
NCGC00185990-05,,KETOROLAC TROMETHAMINE,OZWKMVRBQXNZKK,non-steroidal antiinflammatory
NCGC00167453-02,,Clinofibrate,BMOVQUBVGICXQN,treatment of lipoprotein diseases
NCGC00244253-01,JAK1,Ruxolitinib;INCB-18424?;Jakafi,HFNKQEVNSGCOJV,Jak1/2 inhibitor
