,HTR2A,G9
Smo Receptor Antagonist,NCGC00250382-01,SMO,G8
Smo Receptor Antagonist,NCGC00250382-01,SMO,G9
Smo Receptor Antagonist,NCGC00250382-01,IKBKE,F2
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G8
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G9
IKK-epsilon Inhibitor,NCGC00250386-02,PRKDC,G8
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,G9
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PDK2,F2
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,G8
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,G9
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,MTOR,G8
mTORC1/2 Inhibitor,NCGC00250396-01,MTOR,G9
mTOR inhibitor,NCGC00250398-01,CDK1,F2
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G8
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G9
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,PIK3CA,F2
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,PIK3CA,G8
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00253438-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G8
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G9
Bcl-xL inhibitor,NCGC00253562-02,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00262604-01,JAK2,F2
Jak2 inhibitor,NCGC00262608-02,JAK2,G8
Jak2 inhibitor,NCGC00262608-02,JAK2,G9
Jak2 inhibitor,NCGC00262608-02,RPS6KA1,F2
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,G8
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,G9
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263087-01,PIK3CA,F2
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,G8
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,G9
PI3K/PDK1 Inhibitor,NCGC00263088-01,FLT1,G9
VEGFR-1/2/3 inhibitor,NCGC00263097-01,KDR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00263103-01,KDR,F2
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,G8
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,G9
VEGFR-2 Inhibitor,NCGC00263104-01,MTOR,G8
mTOR inhibitor,NCGC00263109-02,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263112-01,PLK1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263117-02,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,G9
JNK 1/2/3 Inhibitor,NCGC00263146-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,,F2
FGFR Inhibitor,NCGC00263152-02,,G8
FGFR Inhibitor,NCGC00263152-02,,G9
FGFR Inhibitor,NCGC00263152-02,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,PDGFRA,F2
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,G8
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,G9
PDGFR alpha Inhibitor,NCGC00263158-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G8
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G9
Bcl-xL inhibitor,NCGC00263166-01,CDK2,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263177-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,F2
MEK inhibitor,NCGC00263187-01,MAP2K1,G8
MEK inhibitor,NCGC00263187-01,MAP2K1,G9
MEK inhibitor,NCGC00263187-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,MET,F2
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,G9
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MTOR,F2
mTORC1 Inhibitor,NCGC00263216-02,MTOR,G8
mTORC1 Inhibitor,NCGC00263216-02,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G9
PI3Kalpha inhibitor,NCGC00263223-01,,F2
artemesinin analogue,NCGC00263265-01,,G8
artemesinin analogue,NCGC00263265-01,,G9
artemesinin analogue,NCGC00263265-01,,F2
artemesinin analogue,NCGC00263268-01,,G8
artemesinin analogue,NCGC00263268-01,,G9
artemesinin analogue,NCGC00263268-01,,F2
artemesinin analogue,NCGC00263270-01,,G8
artemesinin analogue,NCGC00263270-01,,G9
artemesinin analogue,NCGC00263270-01,USP10,F2
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G8
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G9
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00263918-04,PSMD1,F2
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G8
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G9
Proteasome Inhibitor,NCGC00344630-01,ITK,F2
ITK inhibitor,NCGC00344990-01,ITK,G8
ITK inhibitor,NCGC00344990-01,ITK,G9
ITK inhibitor,NCGC00344990-01,ITK,F2
ITK inhibitor,NCGC00344999-01,,G8
lineage-specific differentiation enhancer,NCGC00345082-01,,G9
lineage-specific differentiation enhancer,NCGC00345082-01,HDAC1,F2
HDAC Inhibitor,NCGC00345539-02,HDAC1,G8
HDAC Inhibitor,NCGC00345539-02,HDAC1,G9
HDAC Inhibitor,NCGC00345539-02,IKBKB,F2
IKK Inhibitor,NCGC00345782-01,IKBKB,G8
IKK Inhibitor,NCGC00345782-01,IKBKB,G9
IKK Inhibitor,NCGC00345782-01,PSMD1,F2
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G8
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G9
Proteasome Inhibitor,NCGC00345799-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00345804-01,CDK1,F2
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G8
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G9
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,STAT3,F2
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G8
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G9
STAT-3 Inhibitor,NCGC00345811-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345837-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345838-01,JAK2,F2
Jak2 inhibitor,NCGC00345845-01,JAK2,G8
Jak2 inhibitor,NCGC00345845-01,JAK2,G9
Jak2 inhibitor,NCGC00345845-01,JAK2,F2
Jak2 inhibitor,NCGC00345846-01,JAK2,G8
Jak2 inhibitor,NCGC00345846-01,JAK2,G9
Jak2 inhibitor,NCGC00345846-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345849-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345851-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G9
DNA Topoisomerase II Inhibitors,NCGC00346437-01,AKT1,F2
PKB/Akt Inhibitor,NCGC00346450-01,AKT1,G8
PKB/Akt Inhibitor,NCGC00346450-01,AKT1,G9
PKB/Akt Inhibitor,NCGC00346450-01,MAP2K1,F2
Mek Inhibitor,NCGC00346455-01,MAP2K1,G8
Mek Inhibitor,NCGC00346455-01,MAP2K1,G9
PI3K alpha/delta Inhibitor,NCGC00346457-01,,G8
FGFR Inhibitor,NCGC00346459-01,PSMD1,F2
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G8
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G9
Proteasome Inhibitor,NCGC00346469-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346484-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346484-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346484-01,HDAC1,F2
HDAC Inhibitor,NCGC00346486-01,HDAC1,G8
HDAC Inhibitor,NCGC00346486-01,HDAC1,G9
HDAC Inhibitor,NCGC00346486-01,HDAC1,F2
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G8
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G9
HDAC1 Inhibitor,NCGC00346487-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346500-01,PIK3CA,F2
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G9
PI3Kalpha inhibitor,NCGC00346509-01,,F2
Macrolide Antibiotic,NCGC00346523-01,,G8
Macrolide Antibiotic,NCGC00346523-01,,G9
Macrolide Antibiotic,NCGC00346523-01,,F2
Polyether Antibiotic,NCGC00346524-01,,G8
Polyether Antibiotic,NCGC00346524-01,,G9
Polyether Antibiotic,NCGC00346524-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346530-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346536-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346536-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346536-01,MAPK14,F2
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00346537-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00346537-01,CFTR,F2
CFTR Channel Modulator,NCGC00346550-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346552-01,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00346563-01,MAP2K1,F2
MEK inhibitor,NCGC00346567-01,MAP2K1,G8
MEK inhibitor,NCGC00346567-01,MAP2K1,G9
MEK inhibitor,NCGC00346567-01,ERBB2,F2
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00346582-01,PDGFRA,F2
PDGFR Inhibitor,NCGC00346619-01,SYK,F2
Syk Kinase inhibitor,NCGC00346622-01,SYK,G8
Syk Kinase inhibitor,NCGC00346622-01,SYK,G9
Syk Kinase inhibitor,NCGC00346622-01,CHEK1,F2
Chk1 Inhibitor,NCGC00346626-01,CHEK1,G8
Chk1 Inhibitor,NCGC00346626-01,PDE10A,F2
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G8
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G9
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,MTOR,G8
mTOR inhibitor,NCGC00346634-01,PIK3CA,G8
PI3Kalpha_:_ beta_:_ gamma Inhibitor,NCGC00346650-01,AURKA,F2
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346652-01,MTOR,F2
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,G8
mTORC1/2 inhibitor,NCGC00346654-01,MTOR,G9
mTORC1/2 inhibitor,NCGC00346654-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00346656-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346658-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346659-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346681-01,PDPK1,F2
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PDPK1,G8
Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,NCGC00346687-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346692-01,,F2
photosensitizer,NCGC00346712-01,,G8
photosensitizer,NCGC00346712-01,,G9
photosensitizer,NCGC00346712-01,PIK3CA,G8
PI3K alpha Inhibitor,NCGC00346717-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346718-01,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00346743-01,CDK1,F2
CDK1/2/4/6,NCGC00346827-01,CDK1,G8
CDK1/2/4/6,NCGC00346827-01,CDK1,G9
CDK1/2/4/6,NCGC00346827-01,PTK2,F2
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G8
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G9
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,CDK1,G9
CDK1/2 Inhibitor,NCGC00346940-01,CDK4,F2
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346951-01,ABL1,F2
Bcr-Abl inhibitor,NCGC00346956-01,ABL1,G8
Bcr-Abl inhibitor,NCGC00346956-01,AKT1,F2
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G8
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G9
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,,F2
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G8
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G9
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,P2RX7,F2
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G8
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G9
P2X7 Receptor Antagonist,NCGC00347904-01,,F2
Porcupine (Wnt) Inhibitor,NCGC00347948-01,,G9
Mutant p53 Activator,NCGC00347952-01,,F2
Oct4 Activator,NCGC00347953-01,,G8
Oct4 Activator,NCGC00347953-01,,G9
Oct4 Activator,NCGC00347953-01,,F2
beta Cell Proliferation Inducer,NCGC00347958-01,,G8
beta Cell Proliferation Inducer,NCGC00347958-01,,G9
beta Cell Proliferation Inducer,NCGC00347958-01,SHH,G8
Hedgehog pathway inhibitor,NCGC00014352-03,SHH,G9
Hedgehog pathway inhibitor,NCGC00014352-03,,G8
Calcium Channel Blocker,NCGC00014926-03,,G9
Calcium Channel Blocker,NCGC00014926-03,,G9
Muscarinic M3 Receptor Ligand,NCGC00015096-11,SLC6A3,G8
Dopamine Transporter (DAT) Inhibitor,NCGC00015122-09,BCL2L1,G9
Bcl-xL inhibitor,NCGC00015225-03,CAMKK2,G8
Histamine H1 Receptor Antagonists,NCGC00015252-13,SLC6A4,G8
Serotonin Transporter (SERT) Inhibitor,NCGC00015264-08,SLC6A4,G9
Serotonin Transporter (SERT) Inhibitor,NCGC00015264-08,,G8
Dopamine Reuptake Inhibitor,NCGC00015300-05,,G9
Dopamine Reuptake Inhibitor,NCGC00015300-05,DRD2,G9
Calcium Channels (Voltage-Gated) alpha2/delta-1/2 Subunit Ligand,NCGC00015466-04,,G8
Dopamine Reuptake Inhibitor,NCGC00015484-06,,G9
Dopamine D2 Antagonist,NCGC00015500-10,OPRM1,G8
mu-Opioid Antagonists,NCGC00015608-04,OPRM1,G9
Histamine H1 Receptor Antagonists,NCGC00015619-09,PDE3A,G8
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,PDE3A,G9
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,GRM5,G8
mgluR5 Antagonists,NCGC00015682-02,GRM5,G9
mgluR5 Antagonists,NCGC00015682-02,ADRA1A,G8
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,STAT3,G8
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G9
Progestogen hormone,NCGC00015785-04,,G8
anti-arrythmia drug,NCGC00015819-11,,G9
anti-arrythmia drug,NCGC00015819-11,,G8
ICAM1 Expression Inhibitors,NCGC00015840-09,,G9
ICAM1 Expression Inhibitors,NCGC00015840-09,DRD2,G8
Dopamine D2 Antagonist,NCGC00015856-08,DRD2,G9
Dopamine D2 Antagonist,NCGC00015856-08,DRD2,G8
Dopamine D2 Antagonist,NCGC00015883-08,DRD2,G9
Dopamine D2 Antagonist,NCGC00015883-08,,G8
Alkaloid anitpsychotic,NCGC00015888-04,,G9
EGFR (HER1; erbB1) inhibitor,NCGC00016017-07,ADRA2A,G9
Steroid,NCGC00016447-02,PTP4A1,G8
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G9
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,,G8
antidiabetic drug,NCGC00016543-08,,G9
antiparasitic agent,NCGC00016855-11,,G9
Antifungal Agent,NCGC00017112-11,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00017324-08,,G8
Antifungal Agent,NCGC00017338-05,,G9
Antifungal Agent,NCGC00017338-05,NDUFAF1,G8
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G9
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,,G9
Treatment of Osteoporosis,NCGC00018139-08,ADRA1A,G8
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,,G8
Antifungal Agent,NCGC00018258-09,,G8
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,,G9
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,CYP19A1,G8
Aromatase Inhibitor,NCGC00018294-06,CYP19A1,G9
Aromatase Inhibitor,NCGC00018294-06,NR1I3,G8
Constitutive Androstane Receptor Agonist,NCGC00018296-08,NR1I3,G9
Constitutive Androstane Receptor Agonist,NCGC00018296-08,ADA,G8
Adenosine Deaminase Inhibitor,NCGC00022567-08,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G9
Pyrimidine Antagonists,NCGC00023722-07,,G8
Antineoplastic Antibiotics,NCGC00024246-13,,G9
antiprotozoal agent,NCGC00024379-04,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00024415-39,CYP19A1,G8
Aromatase Inhibitor,NCGC00025000-08,CYP19A1,G9
Aromatase Inhibitor,NCGC00025000-08,MAP2K1,G8
Dihydrofolate Reductase (DHFR) Inhibitors,NCGC00025060-16,PAR1,G8
PAR1 Antagonist,NCGC00025225-02,PAR1,G9
PAR1 Antagonist,NCGC00025225-02,LTA4H,G8
Leukotriene A4 Hydrolase Inhibitor,NCGC00025323-01,TBXA2R,G8
Prostanoid TP Antagonist,NCGC00025325-03,TBXA2R,G9
RARbeta/gamma Agonist,NCGC00090752-08,PRKDC,G8
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,PRKDC,G9
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,CYP19A1,G9
Aromatase Inhibitor,NCGC00091009-05,,G8
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G9
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,RARG,G8
RARgamma Agonist,NCGC00092284-03,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00092290-03,AKT1,G8
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,G9
PKB/Akt Inhibitor,NCGC00092314-04,GRM1,G8
mgluR1 Antagonists,NCGC00092375-02,GRM1,G9
mgluR1 Antagonists,NCGC00092375-02,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G9
Purine Antagonist,NCGC00094792-06,AKR1C1,G8
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G9
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,WNT1,G8
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G9
Fungal Squalene Monooxygenase Inhibitor,NCGC00159346-05,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,HTR2A,G8
5-HT1A/2A Antagonists?,NCGC00159510-04,HTR2A,G9
5-HT1A/2A Antagonists?,NCGC00159510-04,CALM1,G8
Aurora-A/B Inhibitor,NCGC00159574-02,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,G9
Vitamin D Analog,NCGC00161327-05,OPRL1,G8
Dihydrofolate Reductase (DHFR) Inhibitors,NCGC00161419-03,PSMD1,G8
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G9
Proteasome Inhibitor,NCGC00161679-01,AKT1,G8
PKB/Akt Inhibitor,NCGC00162073-05,AKT1,G9
PKB/Akt Inhibitor,NCGC00162073-05,ADH1A,G8
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G9
Antineoplastic Antibiotics,NCGC00162440-01,HDAC1,G8
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G9
Antimigraine drugs,NCGC00163169-02,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G9
PKC inhibitor,NCGC00163505-03,,G8
Antineoplastic Antibiotics,NCGC00163548-02,,G9
Antineoplastic Antibiotics,NCGC00163548-02,CYSLTR1,G8
DNA Polymerase Inhibitors,NCGC00164553-03,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00164566-02,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00164574-05,,G8
HIV Protease Inhibitors,NCGC00164576-03,,G8
antimalarial agents,NCGC00164600-03,,G9
antimalarial agents,NCGC00164600-03,HMGCR,G8
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G9
HMG-CoA Reductase Inhibitors,NCGC00164604-03,FLT1,G8
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,G9
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00165721-02,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00165721-02,ACE,G8
Angiotensin-I Converting Enzyme Inhibitor,NCGC00165740-04,ACE,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00165740-04,IKBKB,G8
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G9
IKK-2 Inhibitor,NCGC00165811-03,SIGMAR1,G8
sigma1/2 Receptor Agonist,NCGC00165875-03,SIGMAR1,G9
sigma1/2 Receptor Agonist,NCGC00165875-03,,G8
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G9
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00165902-02,MET,G9
thymidylate synthase inhibitor,NCGC00166323-03,RASAL1,G8
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G9
Dual RASGAP/Erk inhibitor,NCGC00167403-03,,G9
Antifungal Agent,NCGC00167430-03,,G8
antimalarial agents,NCGC00167490-02,,G9
antimalarial agents,NCGC00167490-02,,G8
antimalarial agents,NCGC00167496-02,,G9
antimalarial agents,NCGC00167496-02,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G8
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,CASP3,G8
Procaspase 3 Activator,NCGC00167785-02,CASP3,G9
Procaspase 3 Activator,NCGC00167785-02,ADRB1,G8
beta1-Adrenoceptor Antagonists,NCGC00167832-04,ADRB1,G9
